word,SUBTLwf,nLet,nSyll,nPhon,coltNOrth,coltNPhon,old20,pld20,posBigram,isHomograph,isHomophone,WNsensecount
liars,3.6078431372549,5,2,4,0,7,1.95,1.65,114,0,0,1
libel,1.09803921568627,5,2,5,1,2,1.95,1.9,75,0,0,3
liberal,3.98039215686275,7,3,6,1,1,2.3,2.3,157,1,0,7
liberate,1.15686274509804,8,3,6,0,0,2.35,2.8,217,0,0,4
liberated,1.84313725490196,9,4,8,0,0,2.65,3.2,508,0,0,6
liberation,2.31372549019608,10,4,8,0,0,2.65,2.75,530,0,0,3
liberties,1.54901960784314,9,3,7,0,0,3.1,3.05,356,0,0,5
liberty,16.6470588235294,7,3,6,0,0,2.75,2.85,119,0,0,5
libido,1.11764705882353,6,3,6,0,0,2.9,2.85,61,0,0,1
librarian,2.88235294117647,9,4,9,0,0,3.2,4.15,176,0,0,1
library,22.9411764705882,7,3,7,0,0,2.9,3.4,148,0,0,5
lice,2.13725490196078,4,1,3,13,24,1.2,1,58,0,0,4
license,32.0588235294118,7,2,6,1,0,2.6,2,142,0,1,5
licensed,2.74509803921569,8,2,7,0,0,2.55,2.7,386,0,0,2
lick,10.9607843137255,4,1,3,15,35,1.2,1,89,0,0,7
licked,3.82352941176471,6,1,4,8,14,1.4,1.05,509,0,0,5
licking,3.43137254901961,7,2,5,6,10,1.55,1.4,862,0,0,6
lid,4.92156862745098,3,1,3,13,22,1.15,1,13,0,0,3
lie,120.254901960784,3,1,2,9,43,1.05,1,10,0,1,10
lied,43.8039215686275,4,1,3,4,29,1.3,1,65,0,0,8
liege,1.11764705882353,5,1,3,1,13,1.95,1.75,76,0,0,4
lies,36.921568627451,4,1,3,6,23,1.25,1,61,0,0,10
lieu,1.11764705882353,4,1,2,2,49,1.8,1,42,1,1,1
lieutenant,104.039215686275,10,3,8,0,0,4.6,3.5,121,0,0,4
lieutenants,1.09803921568627,11,3,9,0,0,4.7,3.55,90,0,0,4
life,796.647058823529,4,1,3,8,15,1.45,1.1,41,0,0,14
lifeboat,1.3921568627451,8,2,6,0,0,3.4,3.3,75,0,0,1
lifeguard,1.66666666666667,9,2,7,0,0,3.7,3.7,99,0,0,1
lifeless,1.25490196078431,8,2,6,0,0,2.65,2.15,200,0,0,4
lifelong,1.50980392156863,8,2,6,0,0,3,3.3,435,0,0,1
lifetime,18.2156862745098,8,2,6,0,0,3.5,3.45,196,0,0,1
lift,34.1372549019608,4,1,4,7,9,1.45,1.2,44,0,0,36
